diagnosis,table,column,row,value,repair,extended_diagnosis,file_path,data_type,nullable
organization edmoid error,so,organization_edmoid,1,2516,https://edmo.seadatanet.org/report/2516,organization edmoid should be a list of URIs,/github/workspace/logsheets/filtered/sediment_observatory.csv,EMOBONList,False
organization edmoid error,wo,organization_edmoid,1,2516,https://edmo.seadatanet.org/report/2516,organization edmoid should be a list of URIs,/github/workspace/logsheets/filtered/water_observatory.csv,EMOBONList,False
source_mat_id error,ss,source_mat_id,1,EMOBON_RFormosa_So_1,,source_mat_id should match ^EMOBON_RFormosa_So_210805_micro_1$,/github/workspace/logsheets/filtered/sediment_sampling.csv,XSDString,False
source_mat_id error,ss,source_mat_id,2,EMOBON_RFormosa_So_2,,source_mat_id should match ^EMOBON_RFormosa_So_210805_micro_2$,/github/workspace/logsheets/filtered/sediment_sampling.csv,XSDString,False
source_mat_id error,ss,source_mat_id,3,EMOBON_RFormosa_So_3,,source_mat_id should match ^EMOBON_RFormosa_So_210805_micro_3$,/github/workspace/logsheets/filtered/sediment_sampling.csv,XSDString,False
source_mat_id error,ss,source_mat_id,4,EMOBON_RFormosa_So_4,,source_mat_id should match ^EMOBON_RFormosa_So_210805_micro_4$,/github/workspace/logsheets/filtered/sediment_sampling.csv,XSDString,False
source_mat_id error,ss,source_mat_id,5,EMOBON_RFormosa_So_5,,source_mat_id should match ^EMOBON_RFormosa_So_210805_micro_blank_1$,/github/workspace/logsheets/filtered/sediment_sampling.csv,XSDString,False
source_mat_id error,ss,source_mat_id,6,EMOBON_RFormosa_So_6,,source_mat_id should match ^EMOBON_RFormosa_So_211022_micro_1$,/github/workspace/logsheets/filtered/sediment_sampling.csv,XSDString,False
source_mat_id error,ss,source_mat_id,7,EMOBON_RFormosa_So_7,,source_mat_id should match ^EMOBON_RFormosa_So_211022_micro_2$,/github/workspace/logsheets/filtered/sediment_sampling.csv,XSDString,False
source_mat_id error,ss,source_mat_id,8,EMOBON_RFormosa_So_8,,source_mat_id should match ^EMOBON_RFormosa_So_211022_micro_3$,/github/workspace/logsheets/filtered/sediment_sampling.csv,XSDString,False
source_mat_id error,ss,source_mat_id,9,EMOBON_RFormosa_So_9,,source_mat_id should match ^EMOBON_RFormosa_So_211022_micro_4$,/github/workspace/logsheets/filtered/sediment_sampling.csv,XSDString,False
source_mat_id error,ss,source_mat_id,10,EMOBON_RFormosa_So_10,,source_mat_id should match ^EMOBON_RFormosa_So_211022_micro_blank_1$,/github/workspace/logsheets/filtered/sediment_sampling.csv,XSDString,False
